,MET,MAST,DA,LAME,event,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0,1,0,1,381,398,393,401,403,393,409,410,500,404,385,378,392,397
2,0,0,1,0,1,398,393,401,403,393,409,410,500,404,385,378,392,397,424
3,0,0,1,0,1,393,401,403,393,409,410,500,404,385,378,392,397,424,411
4,0,0,1,0,1,401,403,393,409,410,500,404,385,378,392,397,424,411,408
5,0,0,1,0,1,403,393,409,410,500,404,385,378,392,397,424,411,408,398
6,0,0,1,0,1,393,409,410,500,404,385,378,392,397,424,411,408,398,397
7,0,0,1,0,1,409,410,500,404,385,378,392,397,424,411,408,398,397,416
8,0,0,1,0,1,410,500,404,385,378,392,397,424,411,408,398,397,416,389
9,0,0,1,0,1,500,404,385,378,392,397,424,411,408,398,397,416,389,398
10,0,0,1,0,1,404,385,378,392,397,424,411,408,398,397,416,389,398,401
11,0,0,1,0,1,385,378,392,397,424,411,408,398,397,416,389,398,401,405
12,0,0,1,0,1,378,392,397,424,411,408,398,397,416,389,398,401,405,383
13,0,0,1,0,1,392,397,424,411,408,398,397,416,389,398,401,405,383,390
14,0,0,1,0,1,397,424,411,408,398,397,416,389,398,401,405,383,390,392
15,0,0,1,0,1,424,411,408,398,397,416,389,398,401,405,383,390,392,393
16,0,0,1,0,1,411,408,398,397,416,389,398,401,405,383,390,392,393,383
17,0,0,1,0,1,408,398,397,416,389,398,401,405,383,390,392,393,383,409
18,0,0,0,0,1,431,429,422,415,422,416,411,423,412,417,402,411,401,445
19,0,0,0,0,1,429,422,415,422,416,411,423,412,417,402,411,401,445,628
20,0,0,0,0,1,482,474,447,464,455,438,460,490,500,511,513,491,470,470
21,0,0,0,0,1,474,447,464,455,438,460,490,500,511,513,491,470,470,458
22,0,0,0,0,1,447,464,455,438,460,490,500,511,513,491,470,470,458,457
23,0,0,0,0,1,464,455,438,460,490,500,511,513,491,470,470,458,457,500
24,0,0,0,0,1,455,438,460,490,500,511,513,491,470,470,458,457,500,451
25,0,0,0,0,1,438,460,490,500,511,513,491,470,470,458,457,500,451,450
26,0,0,0,0,1,460,490,500,511,513,491,470,470,458,457,500,451,450,451
27,0,0,0,0,1,490,500,511,513,491,470,470,458,457,500,451,450,451,448
28,0,0,0,0,1,500,511,513,491,470,470,458,457,500,451,450,451,448,447
29,0,0,0,0,1,511,513,491,470,470,458,457,500,451,450,451,448,447,458
30,0,0,0,0,1,513,491,470,470,458,457,500,451,450,451,448,447,458,456
31,0,0,0,0,1,491,470,470,458,457,500,451,450,451,448,447,458,456,483
32,0,0,0,0,1,470,470,458,457,500,451,450,451,448,447,458,456,483,435
33,0,0,0,0,1,470,458,457,500,451,450,451,448,447,458,456,483,435,533
34,0,0,0,0,1,513,541,501,527,520,522,550,572,521,539,490,510,523,498
35,0,0,0,0,1,541,501,527,520,522,550,572,521,539,490,510,523,498,555
36,0,0,0,0,1,501,527,520,522,550,572,521,539,490,510,523,498,555,556
37,0,0,0,0,1,527,520,522,550,572,521,539,490,510,523,498,555,556,547
38,0,0,0,0,1,520,522,550,572,521,539,490,510,523,498,555,556,547,545
39,0,0,0,0,1,522,550,572,521,539,490,510,523,498,555,556,547,545,588
40,0,0,0,0,1,550,572,521,539,490,510,523,498,555,556,547,545,588,542
41,0,0,0,0,1,572,521,539,490,510,523,498,555,556,547,545,588,542,532
42,0,0,0,0,1,521,539,490,510,523,498,555,556,547,545,588,542,532,533
43,0,0,0,0,1,539,490,510,523,498,555,556,547,545,588,542,532,533,535
44,0,0,0,0,1,490,510,523,498,555,556,547,545,588,542,532,533,535,514
45,0,0,0,0,1,510,523,498,555,556,547,545,588,542,532,533,535,514,517
